name,artists,avg_popularity,avg_rank,country_count,release_year,is_explicit,avg_danceability,avg_energy,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo,avg_loudness
BIRDS OF A FEATHER,Billie Eilish,99.1987,21.9614,44,2024.0,False,0.747,0.507,0.0358,0.2,0.0608,0.117,0.438,104.978,-10.171
DtMF,Bad Bunny,97.376,16.2928,29,2025.0,True,0.625,0.131,0.0717,0.177,0.218,0.0807,0.032,136.02,-27.405
That’s So True,Gracie Abrams,96.6301,22.881,33,2024.0,True,0.554,0.808,0.0368,0.214,0.0,0.159,0.372,108.548,-4.169
BAILE INoLVIDABLE,Bad Bunny,96.2006,10.6193,22,2025.0,True,0.168,0.0033,0.0615,0.192,0.79,0.112,0.219,119.387,-46.113
Not Like Us,Kendrick Lamar,95.7183,30.4615,38,2024.0,True,0.898,0.472,0.0776,0.0107,0.0,0.141,0.214,101.061,-7.001
WILDFLOWER,Billie Eilish,95.5641,29.3015,30,2024.0,False,0.467,0.247,0.0431,0.612,0.0003,0.17,0.126,148.101,-12.002
All The Stars (with SZA),"Kendrick Lamar, SZA",94.6322,31.4825,28,2018.0,True,0.695,0.633,0.0599,0.0612,0.0002,0.0926,0.557,96.782,-4.946
"Good Luck, Babe!",Chappell Roan,94.316,30.3049,16,2024.0,False,0.7,0.582,0.0356,0.0502,0.0,0.0881,0.785,116.712,-5.96
NUEVAYoL,Bad Bunny,93.942,26.7083,23,2025.0,False,0.142,0.195,0.139,0.265,0.995,0.204,0.12,137.922,-20.024
tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",93.8262,31.1159,14,2024.0,True,0.855,0.529,0.263,0.0837,0.0,0.423,0.548,100.036,-6.679
like JENNIE,JENNIE,93.7084,18.5924,27,2025.0,True,0.811,0.743,0.0611,0.281,0.0067,0.0868,0.815,130.019,-5.321
back to friends,sombr,93.5789,22.5167,34,2024.0,False,0.436,0.723,0.0301,0.0001,0.0001,0.0929,0.235,92.855,-2.291
luther (with sza),"Kendrick Lamar, SZA",93.4091,17.8388,24,2024.0,False,0.707,0.575,0.125,0.251,0.0,0.248,0.576,138.008,-7.546
EoO,Bad Bunny,93.3938,17.4925,21,2025.0,True,0.36,0.464,0.0702,0.749,0.859,0.0825,0.184,63.662,-29.598
Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",93.2762,28.4653,29,2025.0,True,0.768,0.775,0.0466,0.069,0.0,0.138,0.6,119.999,-5.06
Si Antes Te Hubiera Conocido,KAROL G,93.2217,29.9198,25,2024.0,False,0.924,0.668,0.0469,0.446,0.0006,0.0678,0.787,128.027,-6.795
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",93.1851,28.4849,6,2023.0,False,0.264,0.64,0.0442,0.0393,0.0,0.151,0.19,84.828,-6.221
I Wanna Be Yours,Arctic Monkeys,93.181,37.2524,4,2013.0,False,0.464,0.417,0.0256,0.136,0.022,0.0974,0.479,67.528,-9.345
VOY A LLeVARTE PA PR,Bad Bunny,93.096,21.0167,22,2025.0,True,0.148,0.604,0.0588,0.921,0.453,0.405,0.0,106.295,-35.032
NOKIA,Drake,92.8671,21.222,14,2025.0,True,0.537,0.727,0.15,0.247,0.0,0.173,0.508,106.037,-4.184
VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",92.7442,12.6781,18,2025.0,True,0.613,0.981,0.149,0.29,0.0023,0.437,0.0337,101.852,-18.638
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",92.293,39.7006,5,2017.0,True,0.558,0.559,0.0959,0.371,0.0,0.109,0.62,78.558,-9.222
You'll Be in My Heart,NIKI,92.1311,17.8883,5,2022.0,False,0.486,0.613,0.0394,0.0569,0.0014,0.126,0.633,187.531,-8.748
undressed,sombr,92.0342,21.0171,24,2025.0,False,0.642,0.887,0.0406,0.137,0.0,0.0829,0.888,115.999,-3.883
Creep,Radiohead,92.0,46.2,1,1993.0,True,0.515,0.43,0.0372,0.0097,0.0001,0.129,0.104,91.844,-9.935
No One Noticed,The Marías,91.9852,26.704,8,2024.0,False,0.705,0.339,0.0278,0.552,0.0814,0.12,0.457,97.989,-10.612
Beautiful Things,Benson Boone,91.9782,25.9848,28,2024.0,False,0.472,0.471,0.0603,0.151,0.0,0.14,0.219,105.029,-5.692
Yellow,Coldplay,91.9278,41.9485,5,2000.0,False,0.429,0.661,0.0281,0.0024,0.0001,0.234,0.285,173.372,-7.227
DENIAL IS A RIVER,Doechii,91.8699,32.9658,7,2024.0,True,0.825,0.644,0.33,0.0905,0.0,0.0795,0.622,93.292,-3.24
blue,yung kai,91.7692,22.6275,10,2024.0,False,0.746,0.317,0.0342,0.933,0.0186,0.121,0.585,97.49,-11.982
Show Me Love,"WizTheMc, bees & honey",91.7203,20.2287,27,2025.0,False,0.714,0.691,0.0434,0.0212,0.0003,0.111,0.155,107.15,-7.333
Feel It (From “Invincible”),d4vd,91.5,39.0,4,2024.0,False,0.565,0.593,0.0883,0.0288,0.0,0.215,0.429,120.509,-5.864
Taste,Sabrina Carpenter,91.4691,34.677,14,2024.0,False,0.674,0.907,0.064,0.101,0.0,0.297,0.721,112.964,-4.086
Every Breath You Take,The Police,91.3968,47.5238,7,1983.0,False,0.82,0.452,0.0348,0.543,0.0029,0.0714,0.74,117.401,-9.796
La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",91.3833,5.7301,21,2025.0,True,0.894,0.643,0.132,0.543,0.001,0.101,0.659,99.039,-3.485
Lose Control,Teddy Swims,91.3804,30.8886,22,2023.0,False,0.561,0.604,0.0337,0.199,0.0,0.104,0.242,159.92,-4.409
ME JALO,"Fuerza Regida, Grupo Frontera",91.2242,18.5089,11,2024.0,True,0.47,0.75,0.112,0.216,0.0,0.169,0.62,79.814,-5.887
APT.,"ROSÉ, Bruno Mars",91.1283,21.0701,51,2024.0,False,0.777,0.783,0.26,0.0283,0.0,0.355,0.939,149.027,-4.477
Cruel Summer,Taylor Swift,91.0,50.0,1,2019.0,False,0.552,0.702,0.157,0.117,0.0,0.105,0.564,169.994,-5.707
Starboy,"The Weeknd, Daft Punk",91.0,46.7857,1,2016.0,True,0.679,0.587,0.276,0.141,0.0,0.137,0.486,186.003,-7.015
Morena,"Neton Vega, Peso Pluma",90.9537,13.6253,6,2025.0,False,0.697,0.776,0.0308,0.379,0.0015,0.341,0.189,118.007,-7.409
The Days - NOTION Remix,"Chrystal, NOTION",90.9388,24.6712,16,2024.0,False,0.62,0.843,0.0844,0.0062,0.0,0.55,0.237,137.812,-5.321
Busy Woman,Sabrina Carpenter,90.9021,31.366,9,2025.0,True,0.727,0.755,0.036,0.17,0.0,0.101,0.903,117.015,-5.152
Sailor Song,Gigi Perez,90.8895,26.4528,28,2025.0,False,0.496,0.4044,0.0257,0.6596,0.0001,0.1926,0.2726,94.9942,-10.4357
Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",90.8537,44.561,2,2024.0,True,0.392,0.555,0.039,0.287,0.0003,0.13,0.191,96.063,-6.707
party 4 u,Charli xcx,90.8333,28.3458,9,2020.0,False,0.579,0.522,0.0993,0.761,0.0,0.655,0.245,79.453,-8.393
Iris,The Goo Goo Dolls,90.782,31.8741,8,1998.0,False,0.315,0.715,0.0362,0.0013,0.0,0.0942,0.497,155.9243,-8.072
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",90.7214,29.7622,18,2024.0,True,0.833,0.563,0.204,0.528,0.0,0.139,0.343,105.008,-5.593
Feel It - From “Invincible”,d4vd,90.4583,40.9583,5,2024.0,False,0.565,0.593,0.0883,0.0288,0.0,0.215,0.429,120.509,-5.864
squabble up,Kendrick Lamar,90.4524,34.9048,2,2024.0,True,0.874,0.672,0.198,0.0206,0.0,0.0783,0.711,103.921,-5.568
CHIHIRO,Billie Eilish,90.407,33.1047,4,2024.0,False,0.7,0.425,0.0529,0.144,0.879,0.083,0.521,110.015,-12.531
7 Dias,"Gabito Ballesteros, Tito Double P",90.25,17.585,5,2025.0,True,0.838,0.746,0.0614,0.386,0.0,0.0839,0.577,111.913,-3.749
7 DIAS,"Gabito Ballesteros, Tito Double P",90.2404,26.0481,5,2025.0,True,0.838,0.746,0.0614,0.386,0.0,0.0839,0.577,111.913,-3.749
Shake It To The Max (FLY) - Remix,"MOLIY, Silent Addy, Skillibeng, Shenseea",90.2023,30.8204,24,2025.0,True,0.856,0.548,0.123,0.561,0.0,0.155,0.562,97.997,-6.609
"I Love You, I'm Sorry",Gracie Abrams,90.1902,36.9877,6,2024.0,True,0.53,0.406,0.033,0.656,0.0,0.133,0.338,115.94,-7.507
Revolving door,Tate McRae,90.1357,33.6647,17,2025.0,True,0.452,0.737,0.27,0.354,0.0,0.105,0.179,147.822,-6.22
Espresso,Sabrina Carpenter,90.1222,31.5445,26,2024.0,True,0.699,0.776,0.0293,0.131,0.0,0.205,0.708,103.963,-5.282
Sorry I'm Here For Someone Else,Benson Boone,90.0847,38.4098,10,2025.0,False,0.533,0.758,0.034,0.0437,0.0,0.16,0.515,149.719,-4.613
KLOuFRENS,Bad Bunny,90.0289,22.6976,17,2025.0,True,0.326,0.125,0.148,0.703,0.706,0.18,0.306,106.974,-32.45
TATTOO,Tito Double P,89.9703,12.8879,6,2025.0,True,0.755,0.747,0.0656,0.482,0.0,0.0853,0.463,109.897,-4.278
The Scientist,Coldplay,89.9286,23.2143,1,2002.0,False,0.557,0.442,0.0243,0.731,0.0,0.11,0.213,146.277,-7.224
Stargazing,Myles Smith,89.8966,37.0862,9,2024.0,False,0.635,0.601,0.0295,0.2461,0.0,0.11,0.3322,123.994,-6.129
Something Just Like This,"The Chainsmokers, Coldplay",89.88,29.36,1,2017.0,False,0.617,0.635,0.0317,0.0498,0.0,0.164,0.446,103.019,-6.769
A Sky Full of Stars,Coldplay,89.8571,27.5714,1,2014.0,False,0.545,0.675,0.0279,0.0062,0.002,0.209,0.162,124.97,-6.474
In the End,Linkin Park,89.8,43.55,2,2000.0,False,0.556,0.863,0.0582,0.0095,0.0,0.203,0.4032,105.1456,-5.9049
WELTiTA,"Bad Bunny, Chuwi",89.6225,34.5667,16,2025.0,False,0.458,0.297,0.6,0.866,0.329,0.346,0.357,96.14,-32.354
Who,Jimin,89.6173,12.1096,28,2024.0,False,0.66,0.756,0.032,0.0029,0.0,0.193,0.838,116.034,-3.743
Night Changes,One Direction,89.4762,41.5595,3,2014.0,False,0.672,0.52,0.0353,0.859,0.0,0.115,0.37,120.001,-7.747
Apocalypse,Cigarettes After Sex,89.4048,28.7619,3,2017.0,False,0.369,0.467,0.0274,0.0194,0.46,0.109,0.174,94.473,-9.018
Believer,Imagine Dragons,89.4,27.8,3,2017.0,False,0.776,0.78,0.128,0.0622,0.0,0.081,0.666,124.949,-4.374
Snooze,SZA,89.3857,46.2143,5,2022.0,True,0.559,0.551,0.132,0.141,0.0,0.11,0.392,143.008,-7.231
Dreams - 2004 Remaster,Fleetwood Mac,89.3746,30.3225,7,1977.0,False,0.828,0.492,0.0276,0.0644,0.0043,0.128,0.789,120.1511,-9.744
Mystical Magical,Benson Boone,89.3731,32.408,8,2025.0,False,0.671,0.697,0.116,0.19,0.0,0.393,0.848,119.867,-3.851
VITAMINA,"Jombriel, DFZM, Jøtta",89.3685,18.4068,17,2025.0,False,0.815,0.746,0.0528,0.015,0.0,0.056,0.768,92.007,-4.855
Headlock,Imogen Heap,89.3444,34.0816,10,2005.0,False,0.808,0.372,0.0364,0.792,0.0,0.119,0.787,119.982,-10.759
No. 1 Party Anthem,Arctic Monkeys,89.3333,46.6667,1,2013.0,False,0.505,0.698,0.0297,0.33,0.0887,0.0966,0.599,115.013,-5.563
Counting Stars,OneRepublic,89.2857,48.8571,4,2013.0,False,0.663,0.706,0.0383,0.0654,0.0,0.118,0.474,122.013,-4.972
Mi Refe,"Beéle, Ovy On The Drums",89.25,9.1937,17,2024.0,False,0.588,0.634,0.273,0.417,0.0011,0.0993,0.463,151.467,-5.112
Messy,Lola Young,89.2335,21.8955,27,2024.0,True,0.798,0.562,0.0375,0.11,0.0061,0.122,0.647,110.991,-5.913
ROSONES,Tito Double P,89.198,23.5163,5,2024.0,True,0.802,0.726,0.0318,0.704,0.0,0.117,0.604,120.129,-5.939
Mr. Brightside,The Killers,89.1958,42.8783,6,2004.0,False,0.352,0.911,0.0747,0.0012,0.0,0.0995,0.236,148.033,-5.23
M&M,Neton Vega,89.152,19.872,5,2025.0,False,0.596,0.839,0.038,0.334,0.0071,0.0952,0.537,178.837,-6.022
Azizam,Ed Sheeran,89.1307,25.5684,22,2025.0,False,0.663,0.899,0.0473,0.0026,0.0,0.065,0.876,127.998,-5.103
LUNA,"Feid, ATL Jacob",89.1067,26.1331,16,2023.0,False,0.774,0.86,0.13,0.131,0.0,0.116,0.446,100.019,-2.888
No Pole,Don Toliver,89.0786,42.05,6,2023.0,True,0.328,0.631,0.0465,0.0714,0.0,0.567,0.382,85.262,-5.169
Nope your too late i already died,"wifiskeleton, i wanna be a jack-o-lantern",89.0682,31.55,10,2024.0,False,0.704,0.597,0.036,0.105,0.0084,0.264,0.978,119.993,-10.458
capaz (merengueton),"Alleh, Yorghaki",89.0027,16.3639,18,2024.0,False,0.872,0.614,0.181,0.0815,0.0002,0.135,0.785,126.957,-5.618
30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar",89.0,42.0909,2,2024.0,True,0.714,0.415,0.0634,0.758,0.0001,0.133,0.506,140.059,-10.338
BMF,SZA,89.0,42.0256,4,2024.0,True,0.792,0.55,0.0307,0.506,0.0166,0.087,0.972,128.023,-8.528
Bad Romance,Lady Gaga,89.0,28.5909,2,2009.0,True,0.695,0.921,0.0363,0.0031,0.0001,0.0842,0.714,119.007,-3.752
Bring Me To Life,Evanescence,89.0,38.375,1,2003.0,False,0.331,0.943,0.0698,0.0072,0.0,0.242,0.296,94.612,-3.188
Cry For Me,The Weeknd,89.0,47.8889,4,2025.0,True,0.647,0.645,0.0303,0.0871,0.0,0.671,0.422,120.098,-6.425
The Door,Teddy Swims,88.9735,42.3363,4,2023.0,False,0.731,0.861,0.0532,0.0193,0.0,0.123,0.759,127.922,-5.483
EVIL J0RDAN,Playboi Carti,88.8945,18.5673,44,2025.0,True,0.689,0.36,0.0564,0.0066,0.0001,0.119,0.0599,154.009,-7.029
Unwritten,Natasha Bedingfield,88.8634,36.2599,7,2004.0,False,0.706,0.8,0.0399,0.0058,0.0,0.0822,0.629,100.011,-6.333
Triple Lavada,Esau Ortiz,88.758,28.7829,7,2025.0,True,0.909,0.583,0.0847,0.417,0.0,0.137,0.557,100.012,-5.735
NIGHTS LIKE THIS,The Kid LAROI,88.7333,43.2,3,2023.0,False,0.482,0.757,0.0355,0.0137,0.0016,0.143,0.12,142.579,-4.586
NADIE,Tito Double P,88.6805,25.2078,5,2024.0,True,0.702,0.843,0.114,0.465,0.0,0.12,0.526,92.604,-4.71
Swim,Chase Atlantic,88.5467,38.3333,3,2017.0,True,0.666,0.542,0.0392,0.27,0.0,0.0765,0.0771,120.134,-6.429
DOS DÍAS,"Tito Double P, Peso Pluma",88.5422,26.1349,5,2024.0,True,0.745,0.513,0.087,0.783,0.0,0.216,0.929,109.935,-9.116
we can't be friends (wait for your love),Ariana Grande,88.5283,32.6981,4,2024.0,False,0.645,0.646,0.0427,0.0615,0.0,0.074,0.295,115.842,-8.334
